QA 넘버,페이지,시나리오,DEPTH1,DEPTH2,DEPTH3,작동 UI,확인 사항,정상 결과,P/F [웹_explore]," 이슈 내용_웹_explore",이미지,P/F[웹_Safari],이슈 내용_웹_맥_사파리,파일과 미디어 2,P/F[웹_Chrome],이슈 내용_웹_크롬,파일과 미디어 2 (1),P/F[모바일_ios],이슈 내용_모바일_ios_사파리,이미지2,P/F[모바일_android],이슈 내용_모바일_안드,파일과 미디어 2 (2),우선순위,진행상황
QA_0054,채팅방,챗봇 로딩 노출 후 선톡 확인,,,,콘텐츠,"1. 채팅방에 해당되는 AI 프로필 이미지가 메시지와 함께 노출되는가?
1-1. 로딩 표현 이후의 메시지와 설명은 각각 1개씩 0.6초 간격으로 노출되는가?
2. Greeting DB - 관계와 상황에 맞는 멘트를 반환하는가?
2-1. Greeting DB - 멘트와 함께 채팅 가이드 메시지를 반환하는가?
3. Voca Agent - 로딩 표현 이후 답변 메시지와 어려운 어휘가 있는 경우 어휘 표현이 노출되는가?
4. Voca Agent - 어휘의 로마자 표기법을 제대로 반환하는가?
4-1. Voca - 어휘의 설명문을 Kor/Eng 둘 다 정상 제공하는가?","1. 채팅방 AI 프로필 이미지 메시지 왼쪽에 정상 노출
1-1. 로딩 표현 이후 메시지 각 1개씩 0.6초 간격으로 정상 노출 
2. Greeting DB - 첫 멘트 정상 반환
2-1. Greeting DB -가이드 메시지 정상 반환
3. Voca Agent - 어휘 정상 반환
4. Voca Agent - 로마자 표기법  정상 반환
4-1. Voca Agent - Kor/Eng 번역 정상 반환",Pass,1. 값은 다 나오지만 위처럼 챗봇 로딩 표현이 안 보임,,Fail,,,확인중,,,확인중,,,확인중,,,High,완료
QA_0055,채팅방,챗봇 선톡 오류 확인,,,,콘텐츠,"1. 챗봇 선톡 오류시 오류 메시지를 ",,Pass,,,Pass,,,Pass,,,Pass,1. 세션 진행 중 일정 시간 이상 지나면 오류 메세지와 함께 첨부이미지와 같은 상태 - 지현,%ED%85%8C%EC%8A%A4%ED%8A%B8%20%EC%8B%9C%EB%82%98%EB%A6%AC%EC%98%A4/QA_0055/%E1%84%83%E1%85%A9%E1%84%85%E1%85%A1%E1%86%AB%E1%84%83%E1%85%A9%E1%84%85%E1%85%A1%E1%86%AB.png,Pass,,,Low,시작 전
QA_0056,채팅방,TTS 클릭 후 음성 듣기 및 오류 메시지 확인,,,,[TTS] 버튼,"1. [TTS] 버튼이 AI가 제공하는 모든 답장과 설명 모두 정상 노출되는가?
2. 탭 시 음성 변환이 정상 작동하는가?
3. 재 탭 시 음성 변환이 중지 되는가?
4. 오류 시 토스트 메시지가 4초간 노출 후 사라지는가?","1.  [TTS] 버튼 정상 노출
2. 탭 시 음성 변환
3. 재 탭 시 음성변환 정지
4. 토스트 메시지 4초간 정상 노출
: Unable to play audio",Pass,,,Pass,,,Pass,1. 4 확인 X,,Pass,"1. 2 ios 19 이하 버전에서 음성 오류, 26에서는 정상 변환 → 외계인목소리가 남.. -지현",,Pass,1. 4 확인 X,,Low,시작 전
QA_0057,채팅방,"입력 필드 입력 ",,,,입력 필드,"1. 전송 버튼이 비활성화 상태인가?
2. 엔터로 줄바꿈이 가능한가?
3. 최대 3줄까지 보여지는가?
","1. 비활성화 정상 상태
2. 엔터로 줄바꿈 가능
3. 최대 3줄 정상 노출",Pass,2. 3줄로 입력필드 확장 안됨,%ED%85%8C%EC%8A%A4%ED%8A%B8%20%EC%8B%9C%EB%82%98%EB%A6%AC%EC%98%A4/QA_0057/%E1%84%89%E1%85%B3%E1%84%8F%E1%85%B3%E1%84%85%E1%85%B5%E1%86%AB%E1%84%89%E1%85%A3%E1%86%BA_2025-10-28_%E1%84%8B%E1%85%A9%E1%84%92%E1%85%AE_2.53.57.png,Pass,,,Pass,,,Fail,"1. 2 엔터누르면 바로 전송됨 -지현
→ 줄바꿈 없애기로

2. 입력필드가 화면 내에 보이지 않음, 스크롤 내려야 보임 - 이미지 참고 (모바일 웹 특인듯)

3.  3 ,4 확인 불가 → 애초에 3줄넘어가기 전에 50자 제한으로 작성 불가 -지현(ios) → 해당내용은 수정완료","%ED%85%8C%EC%8A%A4%ED%8A%B8%20%EC%8B%9C%EB%82%98%EB%A6%AC%EC%98%A4/QA_0057/%E1%84%89%E1%85%B3%E1%84%8F%E1%85%B3%E1%84%85%E1%85%A9%E1%86%AF_%E1%84%8C%E1%85%A5%E1%86%AB.jpeg, %ED%85%8C%EC%8A%A4%ED%8A%B8%20%EC%8B%9C%EB%82%98%EB%A6%AC%EC%98%A4/QA_0057/%E1%84%89%E1%85%B3%E1%84%8F%E1%85%B3%E1%84%85%E1%85%A9%E1%86%AF_%E1%84%92%E1%85%AE.jpeg",Fail,"1. 타이핑할 때 챗봇 메시지가 보이지 않음, 스크롤하면 보임
- 첨부 이미지 참고","%ED%85%8C%EC%8A%A4%ED%8A%B8%20%EC%8B%9C%EB%82%98%EB%A6%AC%EC%98%A4/QA_0057/KakaoTalk_20251103_205243421.jpg, %ED%85%8C%EC%8A%A4%ED%8A%B8%20%EC%8B%9C%EB%82%98%EB%A6%AC%EC%98%A4/QA_0057/KakaoTalk_20251103_205243421_01.jpg",Medium,진행 중
QA_0058,채팅방,입력 필드 입력 후 전송 버튼 활성화,,,,입력 필드,1. 1자 이상 입력 시 버튼이 활성화 되는가?,1. 활성화된 전송 버튼 노출,Pass,,,Pass,,,Pass,,,Pass,,,Pass,,,Low,시작 전
QA_0059,채팅방,입력 필드 입력 후 전송 버튼 비활성화,,,,입력 필드,1. 입력 필드에 엔터와 띄어쓰기만을 작성할 시 버튼이 비활성화 상태인가?,1. 비활성화 정상 상태,Pass,,,Pass,,,Pass,,,Fail,,,Pass,,,Low,시작 전
QA_0060,채팅방,50자 초과 입력 시 제한 토스트 메시지 확인,,,,토스트 메시지,"1. 입력 문자가 50자 초과시 토스트메시지가 4초간 노출되고 사라지는가?
2. 이후 입력 블락 처리되는가?","1. 토스트 메시지 4초간 정상 노출 후 사라짐
: You can only write up to 50 characters
2. 입력 블락 처리 정상 활성",Fail,"1. 2 토스트 메시지는 뜨지만 그 이후 입력이 계속 됨
→ 블락 처리하기
2. 1토스트 메시지 사라질때 아래로 slide down + fade out 애니메이션 추가",%ED%85%8C%EC%8A%A4%ED%8A%B8%20%EC%8B%9C%EB%82%98%EB%A6%AC%EC%98%A4/QA_0060/%E1%84%89%E1%85%B3%E1%84%8F%E1%85%B3%E1%84%85%E1%85%B5%E1%86%AB%E1%84%89%E1%85%A3%E1%86%BA_2025-10-28_%E1%84%8B%E1%85%A9%E1%84%92%E1%85%AE_2.55.12.png,Pass,,,Pass,,,Pass,,,Pass,,,Low,완료
QA_0061,채팅방,전송 버튼 클릭 후 챗봇 로딩 확인,,,,이미지,"1. 교정할 내용이 있는 경우, 사용자의 문장 교정 + 챗봇 답변 생성중인 로딩이 정상 노출 되는가?
2. 교정할 내용이 없는 경우, perfect + 챗봇 답변 생성중인 로딩이 정상 노출 되는가?","1. 교정 내용이 있는 경우, 사용자 문장 교정 내용 + 챗봇 답변 생성 로딩 정상 노출
2. 교정 내용이 없는 경우, perfect + 챗봇 답변 생성 로딩 정상 노출
",Fail,"1. 1 교정 로딩 돌아가는 중에 챗봇 답변 응답옴
→ 교정 로딩 + 챗봇 로딩 동시에 돌아간 뒤에 모든 응답값이 온 경우 노출하기
2. 2 교정내용이 없는 경우에도 스켈레톤이 무조건 작동되는가?

지금 스켈레톤 + 챗봇 로딩 → 사용자 메시지 응답 노출 + 챗봇 로딩 → 챗봇 응답 노출임
→ 이대로도 괜찮은거 같긴함..! 다같이 얘기해보기!",%ED%85%8C%EC%8A%A4%ED%8A%B8%20%EC%8B%9C%EB%82%98%EB%A6%AC%EC%98%A4/QA_0061/%E1%84%89%E1%85%B3%E1%84%8F%E1%85%B3%E1%84%85%E1%85%B5%E1%86%AB%E1%84%89%E1%85%A3%E1%86%BA_2025-10-28_%E1%84%8B%E1%85%A9%E1%84%92%E1%85%AE_2.25.43.png,Pass,,,Pass,,,Fail,"1. 1로딩이 아니라 검정색으로 텍스트 노출됨, 이게 로딩인건가,,? - 첨부이미지 참고 (ios)

2. 2 과한 보정때문에 ‘perfect’값을 볼 수 없음",%ED%85%8C%EC%8A%A4%ED%8A%B8%20%EC%8B%9C%EB%82%98%EB%A6%AC%EC%98%A4/QA_0061/IMG_4762.jpg,Pass,,,Low,완료
QA_0062,채팅방,사용자 전송 메시지 확인,,,,콘텐츠,"1. 사용자의 메시지가 한글 또는 영어 입력한 값 그대로 노출되는가?
2. 사용자 메시지는 로딩닷 없이 바로 전송되는가?","1. 입력 값 그대로 정상 노출
2. 바로 정상 전송",Pass,1. 전송 후 계속 연속 전송이 되며 연속 응답값이 오는 것을 방지하기 위해 전송 후에는 입력필드 아래로 slide down 해놓은 후에 응답값이 온 경우 slide on 으로 변경,,Pass,,,Pass,,,Pass,,,Pass,,,Low,시작 전
QA_0063,채팅방,사용자 메시지 교정 확인,,,,콘텐츠,"1. Intimacy Agent - 친밀도 레벨, 문법, 문맥에 맞게 사용자의 문장을 교정해주는가?
2. Translation Agent - 교정 내용을 kor/eng 둘 다 노출하는가?
3. 로딩닷 이후 내용이 노출되는가?","1. Intimacy Agent - 정상 교정 반환
2. Translation Agent - 교정 번역 내용 정상 반환
3. 로딩닷 이후 정상 노출",Pass,,,Fail,,,Fail,,,Fail,1. 프롬프트 수정 필요 → 프롬프트 수정사항에 추가해 둘 것,,Fail,,,High,시작 전
QA_0064,채팅방,메시지 전송 버튼 클릭 시 서버 오류시 토스트메시지 확인,,,,콘텐츠,1. 서버 오류 시 토스트메시지가 4초간 노출되고 사라지는가?,"1. 4초간 토스트 메시지 정상 노출 후 사라짐
: Failed to send message",확인불가,,,확인불가,,,확인불가,,,확인불가,,,확인불가,,,Low,시작 전
QA_0065,채팅방,민감한 메시지 입력 후 전송 버튼 클릭,,,,콘텐츠,"1. conversation agent - 민감한 정보를 입력한 경우에 챗봇이 메시지를 반환하는가? ","1. 민감 정보에 대한 메시지 정상 반환
: 그건 제가 다루는 주제가 아니에요! 다른 걸 이야기해볼까요?",Fail,"1. 다루지 않는 주제일 때는 사용자 메시지 교정 불필요
친밀도가 낮을 때 욕하면 다른걸 이야기하자고 하지만 친밀도가 높을 경우에는 욕해도 들어줌","%ED%85%8C%EC%8A%A4%ED%8A%B8%20%EC%8B%9C%EB%82%98%EB%A6%AC%EC%98%A4/QA_0065/%EC%97%90%EB%9F%AC3.png, %ED%85%8C%EC%8A%A4%ED%8A%B8%20%EC%8B%9C%EB%82%98%EB%A6%AC%EC%98%A4/QA_0065/%EC%8A%A4%ED%81%AC%EB%A6%B0%EC%83%B7_2025-10-28_161536.png",Pass,,,Pass,,,Pass,,,Pass,,,Low,시작 전
QA_0066,채팅방,AI 답장 메시지 확인,,,,콘텐츠,"1. 답장 메시지는 한국어로만 제공되는가?
1-1. Conversation Agent - 사용자 대화 상황과 문맥에 맞는 답장을 제공하는가?
1-2. Conversation Agent - 친밀도 레벨에 맞는 응답을 반환하는가?
2. Voca Agent - 어려운 어휘가 있는 경우 어휘 표현이 노출되는가?
2-1.  Voca Agent - 어휘의 로마자 표기법을 제대로 반환하는가?
2-2.  Voca - 어휘의 설명문을 Kor/Eng 둘 다 정상 제공하는가?
3. 로딩 표현 이후의 메시지와 설명은 각각 1개씩 0.6초 간격으로 노출되는가?
4. 보관 버튼이 비활성화 상태로 정상 노출 되는가?","1. AI 답장 메시지는 한국어만 정상 노출
1-1. Conversation Agent - 자연스러운 대화 정상 반환
1-2. Conversation Agent - 친밀도 레벨에 맞는 정상 반환
2. Voca Agent - 어휘 표현 정상 노출
2-1. Voca Agent - 로마자 표기법 정상 반환
2-2. Voca Agent - Kor/Eng 번역 정상 반환
3. 로딩닷 이후 메시지 각 1개씩 0.6초 간격으로 정상 노출
4. 비활성화 상태 정상 노출

",Fail,"1. 2-2 글자가 긴 경우에 ui 깨짐
→ 디자인이랑 레이아웃 얘기를 해서 변경해야하지 않을까?
⇒ 두번째 사진처럼 변경해주세요~!

2. 1-2 챗봇이 그 역할에 맞지 않게 그냥 AI상담 역할을 함
→ 프롬프트 정교화 필요

3. 한 줄안에 담길 경우에는 기본 레이아웃대로 보임","%ED%85%8C%EC%8A%A4%ED%8A%B8%20%EC%8B%9C%EB%82%98%EB%A6%AC%EC%98%A4/QA_0066/%E1%84%89%E1%85%B3%E1%84%8F%E1%85%B3%E1%84%85%E1%85%B5%E1%86%AB%E1%84%89%E1%85%A3%E1%86%BA_2025-10-28_%E1%84%8B%E1%85%A9%E1%84%92%E1%85%AE_2.21.50.png, %ED%85%8C%EC%8A%A4%ED%8A%B8%20%EC%8B%9C%EB%82%98%EB%A6%AC%EC%98%A4/QA_0066/%E1%84%89%E1%85%B3%E1%84%8F%E1%85%B3%E1%84%85%E1%85%B5%E1%86%AB%E1%84%89%E1%85%A3%E1%86%BA_2025-10-29_%E1%84%8B%E1%85%A9%E1%84%92%E1%85%AE_4.57.45.png, %ED%85%8C%EC%8A%A4%ED%8A%B8%20%EC%8B%9C%EB%82%98%EB%A6%AC%EC%98%A4/QA_0066/%E1%84%89%E1%85%B3%E1%84%8F%E1%85%B3%E1%84%85%E1%85%B5%E1%86%AB%E1%84%89%E1%85%A3%E1%86%BA_2025-11-04_%E1%84%8B%E1%85%A9%E1%84%8C%E1%85%A5%E1%86%AB_12.24.30.png",Fail,"1. 친밀도, 상황에 맞지 않는 대화
- 이미지 참고",%ED%85%8C%EC%8A%A4%ED%8A%B8%20%EC%8B%9C%EB%82%98%EB%A6%AC%EC%98%A4/QA_0066/%E1%84%89%E1%85%B3%E1%84%8F%E1%85%B3%E1%84%85%E1%85%B5%E1%86%AB%E1%84%89%E1%85%A3%E1%86%BA_2025-10-27_%E1%84%8B%E1%85%A9%E1%84%92%E1%85%AE_10.39.57.png,Fail,,,Fail,"1. 1-2 존댓말, 과한 교정 수정 필요 -지현
2. 3 로딩닷 노출이 안됨 -지현(ios)",,Fail,,,High,완료
QA_0067,채팅방,답장 내 단어 설명 확인,,[Kor]/[Eng] 버튼 클릭,,[Kor]/[Eng] 버튼,"1. 버튼 2개가 제공되는가?
2. 버튼 클릭 시 한국어/영어 버전의 설명을 확인 가능한가?","1. [Kor]/[Eng] 버튼 정상 노출
2. 한글 80자 / 영어 150자 내로 설명 확인 가능",Pass,,,Pass,,,Pass,,,Pass,,,Pass,,,Low,시작 전
QA_0068,채팅방,AI 답장 서버 오류 시 에러메시지 확인,,,,콘텐츠,1. 서버 오류 시 답장 에러 메시지가 노출되는가?,"1. 답장 에러 메시지 정상 노출
: Failed to load AI response",Fail,"1. 에러 메시지 뜬 상태에서 사용자가 메시지를 다시 전송하면 다시 대화가 이어지는데 에러메시지는 아래 위치에 그대로 고정이었다가 응답값이 오면 그대로 메시지로 바뀜
→ 대화를 다시 이어갈 수 있는거라면 멘트 변경하기
→ 챗봇 메시지를 아래 위치로 고정하지 않고 그 멘트 아래로 이어서 대화가 될 수 있도록 수정하기","%ED%85%8C%EC%8A%A4%ED%8A%B8%20%EC%8B%9C%EB%82%98%EB%A6%AC%EC%98%A4/QA_0068/%E1%84%89%E1%85%B3%E1%84%8F%E1%85%B3%E1%84%85%E1%85%B5%E1%86%AB%E1%84%89%E1%85%A3%E1%86%BA_2025-10-28_%E1%84%8B%E1%85%A9%E1%84%92%E1%85%AE_2.32.38.png, %ED%85%8C%EC%8A%A4%ED%8A%B8%20%EC%8B%9C%EB%82%98%EB%A6%AC%EC%98%A4/QA_0068/%E1%84%89%E1%85%B3%E1%84%8F%E1%85%B3%E1%84%85%E1%85%B5%E1%86%AB%E1%84%89%E1%85%A3%E1%86%BA_2025-10-28_%E1%84%8B%E1%85%A9%E1%84%92%E1%85%AE_2.35.23.png",Pass,,,Pass,"1. 1 채팅한지 일정 시간 지나면 서버 오류와 동일한 에러 메시지 노출
→ 서버 오류와 다른 에러 메시지 노출 ",,Pass,,,Pass,"1. 1 채팅한지 일정 시간 지나면 서버 오류와 동일한 에러 메시지 노출
→ 서버 오류와 다른 에러 메시지 노출",,High,완료
QA_0069,채팅방,문장 표현 [보관함] 버튼 클릭 후 보관,,,,[보관함] 버튼,"1. 버튼 탭 시 활성화되는가?
2. 활성화 동시에 보관함에 저장 처리 되는가?","1. 버튼 탭 시 활성화
2. 해당 채팅방 보관함에 정상 저장",Pass,,,Pass,,,Pass,,,Pass,,,Pass,,,Low,시작 전
QA_0070,채팅방,문장 표현 보관 처리 중 서버 오류 발생 시 토스트 메시지 확인,,서버 오류,저장 실패,콘텐츠,1. 서버 오류 시 토스트 메시지가 노출되는가?,"1. 4초간 토스트 메시지 정상 노출
: Failed to save",확인불가,,,확인불가,,,확인불가,,,확인불가,,,확인불가,,,Low,시작 전
QA_0071,채팅방,채팅방 퇴장 시 모달 확인,,,이전 버튼,이전 버튼,"1. 채팅방 퇴장 시 모달이 메시지와 함께 노출되는가?
2. 모달의 [Keep] 버튼을 누를 시 채팅방이 유지되는가?
3. 모달의 [Leave] 버튼을 누를 시 채팅방 퇴장이 되는가?
4. 모달 하단의 체크 박스가 노출되는가?
5. 체크 박스 체크 이후 모달이 다음 채팅 시 비노출되는가?","1. 메시지 모달 노출
:  Leave chat room
If you leave, the chat history will be deleted.
Ard you sure you want to leave?
2. 채팅방 정상 유지
3. 채팅방 퇴장 후 메인홈으로 이동
4. 메시지와 함께 체크 박스 정상 노출
: don’t watch again
5. 모달 정상 비노출
",Pass,,,Fail,,,Pass,"1. 1 로그아웃하고 로그인 다시 하면, 다시 보지 않기 체크박스에 체크해도 모달이 다음 채팅에서 노출",,Fail,"1. 1 로그아웃하고 로그인 다시 하면, 다시 보지 않기 체크박스에 체크해도 모달이 다음 채팅에서 노출 -지현(ios)",,Pass,"1. 1 로그아웃하고 로그인 다시 하면, 다시 보지 않기 체크박스에 체크해도 모달이 다음 채팅에서 노출",,Medium,완료
QA_0072,채팅방,채팅방 퇴장 후 채팅 내역 삭제 확인,,,,,1. 이전 대화 내역이 정상 비노출 되는가?,1. 이전 대화 내역이 정상 비노출,Pass,1. 다시 노출,,Fail,,,Pass,"1. 1 채팅방 종료 후 동일한 컨셉, 친밀도 선택 시 이전 대화 내용 노출",,Fail,"1. 1 채팅방 종료 후 동일한 컨셉, 친밀도 선택 시 이전 대화 내용 노출 -지현(ios)
2. 추가로 로그아웃시에는 초기화 됨 → 친밀도 동일하게 설정 시 이전 채팅내용 불러옴 -지현",,Pass,"1. 1 채팅방 종료 후 동일한 컨셉, 친밀도 선택 시 이전 대화 내용 노출",,High,완료
QA_0073,보관함,보관함에서 채팅방으로 돌아가기 확인,보관함 화면,,,뒤로가기 버튼,"1. 보관함 페이지에서 뒤로가기 버튼이 정상 노출 되는가?
2. 뒤로가기 버튼 클릭 시 채팅방 화면으로 이동되는가?","1. 뒤로가기 버튼 정상 노출
2. 채팅방 화면(메인)으로 이동",Pass,,,Pass,,,Pass,,,Pass,,,Pass,,,Low,시작 전
QA_0074,보관함,채팅방에서 보관함 페이지 진입 확인,,,,페이지 전체,"1. 채팅방 상단 보관함 아이콘 클릭 시 전체 보관함 페이지로 이동되는가?
2. 보관하는 표현이 없을 경우 빈 보관함 페이지가 노출되는가?","1. 전체 보관함 페이지 정상 이동
2. 보관 카드에 친밀도 UI, TTS, 표현, 아코디언 노출
- 친밀도: Casual, Friendly, Close
3. 저장 항목이 없으며 빈 보관함 페이지 이동
: Saved Expressions!
No saved expressions.
Save useful expressions as you learn.",Pass,,,Pass,,,Pass,,,Pass,,,Pass,,,Low,시작 전
QA_0075,보관함,보관된 표현 음성 재생 확인,,,,TTS,"1. TTS 버튼 클릭 시 음성이 재생되는가?
2. 서버 오류 시 음성 변환 에러 메시지가 노출되는가?","1. TTS 음성 정상 작동
2. 4초간 토스트 메시지 노출
: Unable to play audio",Pass,,,Pass,,,Pass,1. 2 확인 X,,Pass,,,Pass,1. 2 확인 X,,Low,시작 전
QA_0076,보관함,상단바에 채팅방 이름 노출,,,,콘텐츠,1. 상단바에 해당 채팅방 이름이 노출되는가?,1. 채팅방 이름 정상 노출,Pass,1. 간격이 너무 좁게 나옴 두번째 사진이 정상,"%ED%85%8C%EC%8A%A4%ED%8A%B8%20%EC%8B%9C%EB%82%98%EB%A6%AC%EC%98%A4/QA_0076/%E1%84%89%E1%85%B3%E1%84%8F%E1%85%B3%E1%84%85%E1%85%B5%E1%86%AB%E1%84%89%E1%85%A3%E1%86%BA_2025-10-28_%E1%84%8B%E1%85%A9%E1%84%92%E1%85%AE_2.49.11.png, %ED%85%8C%EC%8A%A4%ED%8A%B8%20%EC%8B%9C%EB%82%98%EB%A6%AC%EC%98%A4/QA_0076/%E1%84%89%E1%85%B3%E1%84%8F%E1%85%B3%E1%84%85%E1%85%B5%E1%86%AB%E1%84%89%E1%85%A3%E1%86%BA_2025-10-28_%E1%84%8B%E1%85%A9%E1%84%92%E1%85%AE_2.51.29.png",Pass,,,Pass,,,Pass,,,Pass,,,Low,시작 전
QA_0077,보관함,저장된 표현 리스트 확인,,,,리스트,1. 저장된 표현이 최신순 정렬이 되어 있는가?,1. 리스트 형태로 최신순 정렬 노출,Pass,,,Pass,,,Pass,,,Pass,,,Pass,,,Low,시작 전
QA_0078,보관함,저장된 표현 상세 확인,,,,아코디언 버튼,"1. 아코디언 버튼 클릭 시 상세 설명이 노출되는가?
2. Kor/Eng 값 모두 반환하는가?
3. 다른 아코디언 버튼 클릭 시 이전의 설명은 자동 닫힘이되는가?","1. 버튼 클릭 시 상세 설명 정상 노출
2. Kor/Eng 값 정상 반환
3. 이전 아코디어 정상 자동 닫힘",Pass,,,Pass,,,Pass,,,Pass,,,Pass,,,Medium,시작 전
QA_0079,보관함,페이지 스크롤 확인,,,,리스트,"1. 15개 이상 스크롤 시 추가 표현이 노출되는가?
2. 추가 항목 존재 시 로딩 인디케이터가 노출되는가?","1. 스크롤 시 15개 단위로 표현 정상 노출
2. 추가 항목이 있으면 정상 로드",Fail,"1. 끝에 다 내려서 로딩하는거 말고 스크롤 일정 이상 2/3 내리면 그때 미리 로딩후 노출하기
2. 내린 위치로 고정이 안되고 다시 올라감",,Fail,,,Fail,"1. 1 스크롤 시 하단에 저장된 내용은 아주 잠깐 보여지고, 이후에는 상단에 저장된 내용만 보여짐",,Fail,,,Fail,"1. 1 스크롤 시 하단에 저장된 내용은 아주 잠깐 보여지고, 이후에는 상단에 저장된 내용만 보여짐",,High,시작 전
QA_0080,보관함,전체 선택과 전체 취소 버튼 확인,,,,"전체 선택 버튼
전체 취소 버튼","1. ‘전체 선택’ 버튼 클릭 시 모든 버튼이 체크되는가?
2. 모든 버튼 체크 후 상단 우측 버튼이 ‘전체 취소’로 변경되는가?
3. ‘전체 취소’ 버튼 클릭 시 모든 체크가 해제되는가?
4. 일부만 체크되어 있을 시 ‘전체 선택’ 버튼이 노출되어 있는가?","1. 모든 리스트 정상 체크
2. 상단 우측 버튼 ‘전체취소’로 정상 변경
3. 모든 리스트 체크 정상 해제
4. 일부 체크 시 ‘전체 선택’ 버튼 정상 노출",Pass,,,Pass,,,Pass,,,Pass,,,Pass,,,Low,시작 전
QA_0081,보관함,표현 삭제 체크리스트 체크 확인,,,,삭제 버튼,"1. Archive 페이지 우측 Delete 버튼 클릭 시 상단바가 정상 변경되는가?
2. 빈 체크박스가 디폴트인가?
3. 1개 이상 체크 시 하단 Delete 버튼이 활성화되는가?
4. 체크박스 활성화 시 선택 항목이 삭제되는가? 
5. 어떤 항목도 선택하지 않으면 Delete 버튼이 비활성화 상태인가?","1. 상단바 정상 변경(좌측: X / 우측: Deselect All)
2. 체크박스 비활성화 기본값
3. 하단 삭제하기 버튼 정상 비활성 상태
4. 선택 수만큼 Delete N 표시
5. 선택하지 않으면 Delete 버튼 비활성화",Pass,,,Pass,,,Pass,,,Pass,,,Pass,,,Low,시작 전
QA_0082,보관함,보관된 표현 삭제하기 확인,,,,모달,"1. 삭제 버튼 클릭 시 의사확인 모달이 노출되는가?
2. Keep 버튼 클릭 시 항목이 모두 유지되는가?
3. Delete 버튼 클릭 시 선택 항목이 모두 삭제되는가?","1. 메시지와 함께 정상 노출
: Delete saved phrase
Do you want to delete N phrases?
2. 모든 항목 정상 유지
3. 선택 항목 정상 삭제",Pass,,,Pass,,,Pass,,,Pass,,,Pass,,,Low,시작 전
QA_0083,보관함,삭제 완료 후 리스트 확인,보관함 페이지,,,콘텐츠,"1. 삭제된 리스트가 노출되지 않는가?
2. 삭제 완료 토스트 메시지가 4초간 노출되는가?","1. 삭제된 항목 리스트 비노출
2. 4초간 토스트 메시지 노출
: Saved phrase is deleted",Pass,,,Pass,,,Pass,,,Pass,,,Pass,,,Low,시작 전
QA_0084,보관함,서버 오류 발생 시 페이지 이동,,서버 오류,접속 실패,페이지 전체,1. 서버 오류 시 서버 오류 페이지가 보여지는가?,1. 서버 오류: ‘서버 오류_500’ 페이지 로드,Pass,,,확인불가,,,확인불가,,,확인불가,,,확인불가,,,Low,시작 전
QA_0085,보관함,클라이언트 오류 발생 시 페이지 이동,,클라이언트 오류,접속 실패,페이지 전체,1. 클라이언트 오류 시 서버 오류 페이지가 보여지는가?,"1. 클라이언트 오류: ‘서버 오류_400’ 페이지 로드
2. 해당 페이지에서 ‘Go Back’ 버튼 클릭 시 로그인페이지 화면으로 이동",Pass,,,확인불가,,,확인불가,,,확인불가,,,확인불가,,,Low,시작 전
QA_0086,보관함,메인홈에서 보관함 페이지 진입 확인,보관함 페이지,,,페이지 전체,"1. 보관함 아이콘 클릭 시 보관함 페이지로 이동되는가?
2. 상단바에 ‘Archive’/’Delete’ 버튼이 정상 노출되는가?
3. 상단에 채팅방 카테고리 칩이 노출되는가?
4. 채팅방별로 보관 표현이 노출되는가?","1. 보관함 페이지 정상 이동
2.  ‘Archive’/’Delete’ 버튼 정상 노출
3. 채팅방 카테고리 칩 정상 노출
4. 해당 채팅방에 보관된 리스트만 정상 노출",Pass,,,Pass,,,Pass,,,Pass,,,Pass,,,Low,시작 전
QA_0087,보관함,빈 보관함 페이지 확인,,,,빈 페이지 전체,"1. 특정 보관함 페이지
→ 보관 표현이 없으면 빈 보관함 페이지로 이동되는가?
2. 전체 보관함 페이지
→ 보관 표현이 없으면 빈 보관함 페이지로 이동되는가?
→ 보관 표현이 없으면 채팅 유도 버튼이 노출되는가?
→ 채팅 유도 버튼 클릭 시 채팅방 화면으로 이동되는가?","1. 특정 보관함 페이지
→ 보관 표현이 없는 경우, 빈 보관함 페이지 이동
: Saved Expressions!
No saved expressions.
Save useful expressions as you learn.
2. 전체 보관함 페이지
→ 보관 표현이 없는 경우, 채팅 유도 버튼 정상 노출
:  Start chatting
→ 채팅 유도 버튼 클릭 시 채팅방 화면((HAN_CH_002)) 이동",Pass,"1. 전체 메인홈 > 보관함 진입 > 카테고리 > chat start > 방 진입 하긴하는데 거리감 설정 없이 바로 채팅 시작함

2. 이 경우 채팅방 < 이전 버튼 클릭 시 모달 나오고 leave눌러도 나가지지가 않음

⇒ 보관함에서 chat start 없애주세요~!",%ED%85%8C%EC%8A%A4%ED%8A%B8%20%EC%8B%9C%EB%82%98%EB%A6%AC%EC%98%A4/QA_0087/%E1%84%89%E1%85%B3%E1%84%8F%E1%85%B3%E1%84%85%E1%85%B5%E1%86%AB%E1%84%89%E1%85%A3%E1%86%BA_2025-10-28_%E1%84%8B%E1%85%A9%E1%84%92%E1%85%AE_2.52.00.png,Pass,,,Pass,,,Pass,,,Pass,"1. Start Charting 버튼 클릭 시 400 에러 노출
→ 해당 버튼 제거",,High,완료
